Sale Date,City,Zip Code,Year Built,Bed,Bath,Sale Price,Square Feet,Lot Size,$/SqFt,$/SF
2020-07-16,Troutdale,97060,1990,3,3.0,430000,1810,7840,237.56906077348066,237.57
2020-07-16,Troutdale,97060,2006,3,3.0,342000,1780,2178,192.13483146067415,192.13
2020-07-16,Troutdale,97060,1990,4,3.0,750000,3463,140698,216.5752237943979,216.58
2020-07-16,Troutdale,97060,1980,4,2.0,398000,1684,7840,236.3420427553444,236.34
2020-07-16,Troutdale,97060,1995,3,2.0,375000,1475,5227,254.23728813559322,254.24
2020-07-16,Troutdale,97060,1970,4,2.0,490000,2128,87120,230.26315789473685,230.26
2020-07-22,Troutdale,97060,2006,4,2.5,432595,1804,4356,239.79767184035478,239.8
2020-07-22,Troutdale,97060,1949,2,1.0,320000,1002,4791,319.3612774451098,319.36
2020-07-24,Troutdale,97060,2005,4,2.0,361000,1480,6969,243.9189189189189,243.92
2020-08-27,Troutdale,97060,2006,3,3.0,565000,1734,7405,325.83621683967704,325.84
2020-09-29,Corbett,97019,1921,2,1.0,283000,784,9147,360.96938775510205,360.97
2020-11-13,Troutdale,97060,1979,4,3.0,425000,1898,10454,223.91991570073762,223.92
2020-12-30,Troutdale,97060,1979,3,2.0,365000,1120,6969,325.89285714285717,325.89
2021-04-29,Troutdale,97060,1970,4,3.0,456000,2030,7405,224.6305418719212,224.63
2020-12-16,Portland,97230,1974,2,1.0,435000,1000,141570,435.0,435.0
2020-12-16,Portland,97230,2001,3,3.0,435000,1985,2522,219.14357682619647,219.14
2020-11-23,Portland,97230,1965,1,1.0,169900,868,2996,195.7373271889401,195.74
2020-07-21,Gresham,97030,1911,4,2.0,400000,2923,4791,136.84570646595964,136.85
2020-07-16,Gresham,97080,2005,3,2.0,171000,1250,5000,136.8,136.8
2020-07-16,Gresham,97080,1974,4,3.0,370000,1754,8276,210.94640820980615,210.95
2020-07-14,Gresham,97030,1952,4,3.0,436000,2848,17424,153.08988764044943,153.09
2020-07-10,Gresham,97030,1968,2,2.0,345000,1697,7840,203.29994107248086,203.3
2020-07-05,Gresham,97030,1975,3,3.0,40000,1672,8712,23.923444976076556,23.92
2020-07-05,Gresham,97030,1965,4,2.0,379000,1816,10454,208.70044052863437,208.7
2020-07-22,Gresham,97080,1983,3,2.0,353500,1595,7405,221.63009404388714,221.63
2020-07-19,Gresham,97080,2008,4,3.0,470000,2300,5227,204.34782608695653,204.35
2020-07-19,Gresham,97080,1980,3,2.0,385000,1576,8276,244.28934010152284,244.29
2020-07-13,Gresham,97080,1994,3,4.0,575000,3516,13939,163.53811149032992,163.54
2020-06-29,Gresham,97030,1973,8,7.0,482500,3246,8712,148.64448552064079,148.64
2020-07-08,Gresham,97080,1982,5,3.0,462250,2876,8712,160.72670375521557,160.73
2021-04-22,Gresham,97030,2021,3,2.0,618750,2200,6969,281.25,281.25
2020-07-30,Gresham,97080,2004,3,2.0,310000,1152,3920,269.09722222222223,269.1
2020-07-27,Gresham,97080,2020,3,3.0,461595,2061,5407,223.9665211062591,223.97
2020-07-27,Gresham,97080,2019,3,3.0,461595,2061,5227,223.9665211062591,223.97
2020-07-21,Gresham,97080,1986,3,2.0,390000,1576,10890,247.46192893401016,247.46
2020-07-14,Gresham,97080,1999,4,3.0,584000,3244,13068,180.02466091245375,180.02
2020-07-13,Gresham,97080,2020,4,3.0,369995,1863,3084,198.60171765968866,198.6
2020-07-08,Gresham,97080,2000,4,3.0,495000,2503,7405,197.76268477826608,197.76
2020-07-08,Gresham,97080,1978,3,2.0,350000,1376,10018,254.36046511627907,254.36
2020-07-07,Gresham,97080,2018,3,3.0,344500,1671,3049,206.163973668462,206.16
2021-07-15,Gresham,97080,2003,4,3.0,455000,1823,5662,249.58859023587493,249.59
2021-07-15,Gresham,97080,1996,4,3.0,495000,2139,16117,231.4165497896213,231.42
2021-07-15,Portland,97233,1969,3,1.0,400000,1148,8276,348.4320557491289,348.43
2021-07-15,Gresham,97080,1987,4,3.0,539900,2758,10454,195.7577955039884,195.76
2021-07-15,Gresham,97030,2021,4,3.0,960000,2657,5663,361.30974783590517,361.31
2021-07-12,Fairview,97024,1999,3,3.0,763000,1813,5227,420.8494208494208,420.85
2021-07-15,Gresham,97030,1966,3,2.0,425000,1285,7405,330.73929961089493,330.74
2021-07-07,Fairview,97024,2002,3,2.0,509000,1693,6098,300.6497341996456,300.65
2021-07-15,Gresham,97030,2003,3,2.0,400000,1074,3920,372.43947858472995,372.44
2021-07-01,Fairview,97024,1996,3,2.0,430000,1672,4356,257.17703349282294,257.18
2021-07-15,Gresham,97080,2019,5,3.0,599000,2892,5227,207.1230982019364,207.12
2021-06-29,Fairview,97024,2001,4,3.0,650000,2443,8712,266.06631191158414,266.07
