ZIP_CODE,PO_NAME,STATE,zipCodePop,areaSqMile,PopDensity,MeaHHI
97417,Canyonville,OR,1498,25.44,58.8836478,41145
97487,Veneta,OR,10149,173.493,58.49803738,70583
97392,Turner,OR,2329,40.448,57.58010285,96731
97113,Cornelius,OR,1916,34.166,56.07914301,90626
97133,North Plains,OR,4150,74.694,55.56001821,138826
97526,Grants Pass,OR,18045,330.681,54.56920718,67954
97378,Sheridan,OR,7375,135.492,54.43125793,75461
97017,Colton,OR,3658,68.524,53.38275641,82998
97914,Ontario,OR,7648,143.326,53.36086963,57263
97023,Estacada,OR,8174,158.751,51.48943944,82423
97391,Toledo,OR,4875,96.058,50.75058819,63473
97603,Klamath Falls,OR,13675,272.209,50.23713397,62090
97351,Independence,OR,2843,56.674,50.16409641,68004
97103,Astoria,OR,16418,332.566,49.36764432,74733
97355,Lebanon,OR,11148,230.464,48.37198001,68389
97426,Creswell,OR,3824,82.143,46.55296252,79361
97503,White City,OR,2587,56.044,46.16015987,56470
97121,Hammond,OR,1229,26.672,46.07828434,61646
97367,Lincoln City,OR,6188,135.34,45.72188562,69784
97058,The Dalles,OR,14557,319.834,45.51423551,75629
97859,Meacham,OR,1634,36.197,45.14186259,58564
97361,Monmouth,OR,6152,137.307,44.8047077,72346
97702,Bend,OR,6663,149.292,44.6306567,95495
97632,Malin,OR,1829,41.003,44.60649221,72119
97054,Deer Island,OR,2338,53.724,43.51872534,70155
97327,Brownsville,OR,4660,107.099,43.51114389,97876
97525,Gold Hill,OR,4662,108.023,43.15747572,72609
97376,Seal Rock,OR,2221,51.897,42.79630807,65375
97040,Mosier,OR,1558,38.03,40.96765711,88697
97341,Depoe Bay,OR,796,19.758,40.28747849,70958
97038,Molalla,OR,11653,295.428,39.44446701,83860
97420,Coos Bay,OR,11824,300.654,39.32759917,70133
97419,Cheshire,OR,1154,29.945,38.53731842,52791
97101,Amity,OR,1880,49.46,38.01051355,90048
97394,Waldport,OR,2370,65.381,36.24906318,62157
97446,Harrisburg,OR,3893,108.634,35.83592614,65295
97424,Cottage Grove,OR,12133,345.203,35.14743499,64924
97137,Saint Paul,OR,1447,42.204,34.28584968,114367
97119,Gaston,OR,5401,158.496,34.07656976,113906
97231,Portland,OR,2630,77.67,33.86120767,161621
97875,Stanfield,OR,1574,47.293,33.28188104,68366
97471,Roseburg,OR,8320,262.24,31.7266626,75846
97031,Hood River,OR,6431,205.265,31.33023165,98664
97122,Hebo,OR,778,25.827,30.12351415,59795
97701,Bend,OR,8180,275.97,29.640903,103507
97148,Yamhill,OR,3793,128.681,29.47599102,122938
97374,Scio,OR,5346,183.212,29.1793114,75896
97543,Wilderville,OR,1621,55.888,29.00443745,73328
