Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
NE MULTNOMAH ST / NE 11TH AVE,22-907067,Property,Lloyd,3/13/2022,1015,Vandalism,Vandalism,45.531492329,-122.654572960,3/13/2022,1
NE MULTNOMAH ST / NE 13TH AVE,22-903166,Property,Sullivan's Gulch,2/1/2022,1100,Vandalism,Vandalism,45.531478395,-122.652534708,2/1/2022,1
NE MULTNOMAH ST / NE 13TH AVE,22-905441,Property,Sullivan's Gulch,1/21/2022,1630,Vandalism,Vandalism,45.531478395,-122.652534708,2/24/2022,1
NE MULTNOMAH ST / NE 13TH AVE,22-907019,Property,Sullivan's Gulch,3/12/2022,1705,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.531478395,-122.652534708,3/12/2022,1
NE MULTNOMAH ST / NE 13TH AVE,22-908453,Property,Sullivan's Gulch,3/26/2022,1140,Larceny Offenses,Theft From Motor Vehicle,45.531478395,-122.652534708,3/26/2022,1
NE MULTNOMAH ST / NE 16TH AVE,22-44391,Property,Sullivan's Gulch,2/14/2022,1800,Motor Vehicle Theft,Motor Vehicle Theft,45.531470055,-122.649462195,2/16/2022,1
NE MULTNOMAH ST / NE 16TH AVE,22-903131,Property,Sullivan's Gulch,2/1/2022,1730,Vandalism,Vandalism,45.531470055,-122.649462195,2/2/2022,1
NE MULTNOMAH ST / NE 16TH AVE,22-906413,Property,Sullivan's Gulch,3/9/2022,2110,Larceny Offenses,Theft From Motor Vehicle,45.531470055,-122.649462195,3/10/2022,1
NE MULTNOMAH ST / NE 16TH AVE,22-908410,Property,Sullivan's Gulch,3/24/2022,2005,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.531470055,-122.649462195,3/24/2022,1
NE MULTNOMAH ST / NE 16TH AVE,22-908822,Property,Sullivan's Gulch,3/30/2022,0700,Vandalism,Vandalism,45.531470055,-122.649462195,3/30/2022,1
NE MULTNOMAH ST / NE 31ST AVE,22-76596,Society,Kerns,3/22/2022,0811,Drug/Narcotic Offenses,Drug/Narcotic Violations,45.531725484,-122.632807033,3/22/2022,1
NE MULTNOMAH ST / NE 99TH AVE,22-6105,Property,Hazelwood,1/7/2022,0945,Motor Vehicle Theft,Motor Vehicle Theft,45.531272023,-122.562349548,1/7/2022,1
