,Sale Date,Home Type,City,Zip Code,Year Built,Bed,Bath,Sale Price,Property Tax Rate,Square Feet,Lot Size
84,2021-01-21,Single Family,Portland,97230,1966,4,2.0,187500,1.12,1474,8900
85,2020-12-21,Single Family,Gresham,97030,2006,4,3.0,459000,1.12,2548,6534
86,2020-12-10,Single Family,Portland,97230,1964,3,1.0,349900,1.12,988,7405
87,2020-12-14,Single Family,Gresham,97030,1972,4,2.0,396000,1.12,1910,10454
88,2020-12-13,Single Family,Gresham,97030,1966,4,2.0,283000,1.12,1488,7200
89,2020-12-10,Single Family,Gresham,97030,1973,3,2.0,362000,1.12,1664,8712
90,2020-12-07,Single Family,Gresham,97030,1972,4,2.0,345000,1.12,1424,8295
91,2020-12-08,Single Family,Portland,97233,1958,3,2.0,289900,1.12,1901,7405
92,2020-12-08,Single Family,Gresham,97030,2003,4,3.0,508000,1.12,2858,6534
93,2020-12-02,Single Family,Gresham,97030,1976,3,2.0,370000,1.12,1647,8712
95,2020-11-29,Single Family,Gresham,97030,1970,3,2.0,380000,1.12,1480,7405
96,2020-11-24,Single Family,Portland,97230,1956,3,1.0,343000,1.12,912,9147
98,2020-11-19,Single Family,Portland,97230,1948,3,2.0,330000,1.12,1272,10018
99,2020-11-18,Single Family,Gresham,97030,1974,4,2.0,391000,1.12,1736,6969
100,2020-11-13,Single Family,Portland,97233,1996,3,2.0,330000,1.12,1568,15245
102,2020-11-12,Single Family,Gresham,97030,1973,3,3.0,378500,1.12,1788,14810
105,2020-11-04,Single Family,Portland,97233,1956,4,2.0,366500,1.12,1445,9147
106,2020-11-05,Single Family,Portland,97233,1958,3,2.0,335000,1.12,1014,6969
107,2020-11-02,Single Family,Portland,97230,1971,3,2.0,374900,1.12,1903,7840
108,2020-10-30,Single Family,Gresham,97030,2015,3,4.0,540000,1.12,2736,8276
109,2020-10-30,Single Family,Gresham,97030,1992,3,3.0,427000,1.12,1835,7405
110,2020-10-27,Single Family,Portland,97230,2007,2,1.5,267000,1.12,1200,1500
112,2020-10-27,Single Family,Portland,97233,1948,4,2.0,386000,1.12,1972,11325
113,2020-10-27,Single Family,Gresham,97030,2002,3,3.0,490000,1.12,2011,5662
117,2020-10-27,Single Family,Gresham,97030,1966,5,2.0,408000,1.12,1717,7405
118,2020-10-30,Single Family,Portland,97230,2002,4,3.0,470000,1.12,2726,6534
119,2020-10-27,Single Family,Portland,97230,1980,4,3.0,385000,1.12,1948,6970
120,2020-10-27,Single Family,Portland,97230,1958,3,1.0,347900,1.12,1410,10018
121,2020-10-25,Single Family,Portland,97230,1988,4,3.0,469900,1.12,2326,7405
122,2020-10-19,Single Family,Portland,97230,1973,4,2.0,360000,1.12,2143,6969
123,2020-10-19,Single Family,Portland,97230,1984,4,2.0,349000,1.12,1388,9147
124,2020-10-19,Single Family,Portland,97230,2015,3,3.0,397500,1.12,1830,2613
126,2020-10-13,Single Family,Portland,97230,1966,3,2.0,340000,1.12,981,7840
127,2020-10-07,Single Family,Gresham,97030,1987,3,3.0,399900,1.12,1948,6969
128,2020-10-07,Single Family,Gresham,97030,1942,2,1.0,190000,1.12,1000,7840
129,2020-10-13,Single Family,Gresham,97030,1972,3,2.5,173000,1.12,2800,11000
130,2020-09-24,Single Family,Gresham,97030,1969,3,2.0,335000,1.12,1508,8712
131,2020-09-24,Single Family,Gresham,97030,1991,4,3.0,425000,1.12,2365,7840
132,2020-09-21,Single Family,Portland,97230,1948,1,1.0,300000,1.12,1582,23600
133,2020-09-24,Single Family,Gresham,97030,1969,3,1.0,338000,1.12,1371,8712
134,2020-09-15,Single Family,Portland,97233,1980,4,2.0,380000,1.12,1534,7405
136,2020-09-09,Single Family,Gresham,97030,1972,4,2.0,396000,1.12,2176,8712
137,2020-09-13,Single Family,Gresham,97030,1978,3,2.0,377000,1.12,1608,7840
138,2020-09-09,Single Family,Gresham,97030,1973,3,2.0,350000,1.12,936,9147
140,2020-08-27,Single Family,Portland,97230,1971,3,3.0,375000,1.12,2121,7405
143,2020-08-13,Single Family,Portland,97233,1945,3,2.0,326000,1.12,1067,13503
144,2020-08-07,Single Family,Portland,97230,1956,3,1.0,339000,1.12,928,10454
145,2020-08-02,Single Family,Gresham,97030,1969,3,1.0,325000,1.12,1058,6969
146,2020-07-30,Single Family,Portland,97230,1965,3,2.0,345000,1.12,1368,7405
147,2020-07-30,Single Family,Portland,97230,1956,3,2.0,345000,1.12,1394,8712
148,2020-07-24,Single Family,Portland,97233,1956,3,1.0,285000,1.12,912,9147
149,2020-07-24,Single Family,Portland,97233,1956,4,2.0,358000,1.12,1584,8276
