ZIP_CODE,PO_NAME,STATE,zipCodePop,areaSqMile,PopDensity
97501,Medford,OR,18346,64.304,285.3010699
97009,Boring,OR,8363,30.107,277.7759325
97402,Eugene,OR,24722,93.415,264.6470053
97322,Albany,OR,15673,63.796,245.67371
97051,Saint Helens,OR,9369,38.843,241.2017609
97362,Mount Angel,OR,5150,22.201,231.9715328
97053,Warren,OR,2949,13.543,217.7508676
97128,McMinnville,OR,22844,112.434,203.1769749
97365,Newport,OR,7370,38.317,192.3428243
97140,Sherwood,OR,7864,44.128,178.208847
97478,Springfield,OR,28059,165.664,169.3729477
97325,Aumsville,OR,4712,28.801,163.6054304
97882,Umatilla,OR,4701,28.784,163.3198999
97338,Dallas,OR,20944,129.119,162.2069564
97026,Gervais,OR,4666,28.809,161.9632754
97071,Woodburn,OR,9009,58.086,155.0976139
97146,Warrenton,OR,3699,24.152,153.1550182
97116,Forest Grove,OR,15304,106.075,144.2752769
97004,Beavercreek,OR,5829,41.902,139.110305
97022,Eagle Creek,OR,3074,23.034,133.4548928
97366,South Beach,OR,1123,8.466,132.64824
97383,Stayton,OR,6511,50.277,129.5025558
97408,Eugene,OR,6149,48.104,127.8272077
97455,Pleasant Hill,OR,3467,27.965,123.9763991
97107,Bay City,OR,2392,19.845,120.5341396
97502,Central Point,OR,11073,98.006,112.9828786
97321,Albany,OR,8019,72.012,111.3564406
97352,Jefferson,OR,5442,49.987,108.8683058
97385,Sublimity,OR,4282,39.873,107.3909663
97002,Aurora,OR,4598,43.188,106.4647587
97381,Silverton,OR,16483,168.628,97.74770501
97448,Junction City,OR,12695,135.118,93.95491348
97389,Tangent,OR,3624,38.605,93.87385054
97055,Sandy,OR,12574,138.338,90.89331926
97838,Hermiston,OR,13235,145.986,90.6593783
97056,Scappoose,OR,9316,105.929,87.94569948
97111,Carlton,OR,4121,48.268,85.37747576
97114,Dayton,OR,4683,55.804,83.9187155
97042,Mulino,OR,2124,25.881,82.06792628
97333,Corvallis,OR,8438,102.879,82.01868214
97439,Florence,OR,14655,179.878,81.4718865
97109,Buxton,OR,1562,23.636,66.08563209
97106,Banks,OR,2993,46.374,64.54047527
97437,Elmira,OR,1298,20.786,62.44587703
97533,Murphy,OR,1019,16.648,61.20855358
97368,Otis,OR,2900,47.384,61.20209353
97048,Rainier,OR,5864,96.738,60.61733755
97357,Logsden,OR,1839,30.84,59.63035019
97417,Canyonville,OR,1498,25.44,58.8836478
97487,Veneta,OR,10149,173.493,58.49803738
97392,Turner,OR,2329,40.448,57.58010285
97113,Cornelius,OR,1916,34.166,56.07914301
97133,North Plains,OR,4150,74.694,55.56001821
97526,Grants Pass,OR,18045,330.681,54.56920718
97378,Sheridan,OR,7375,135.492,54.43125793
97017,Colton,OR,3658,68.524,53.38275641
97914,Ontario,OR,7648,143.326,53.36086963
97023,Estacada,OR,8174,158.751,51.48943944
97391,Toledo,OR,4875,96.058,50.75058819
97603,Klamath Falls,OR,13675,272.209,50.23713397
97351,Independence,OR,2843,56.674,50.16409641
97103,Astoria,OR,16418,332.566,49.36764432
97355,Lebanon,OR,11148,230.464,48.37198001
97426,Creswell,OR,3824,82.143,46.55296252
97503,White City,OR,2587,56.044,46.16015987
97121,Hammond,OR,1229,26.672,46.07828434
97367,Lincoln City,OR,6188,135.34,45.72188562
97058,The Dalles,OR,14557,319.834,45.51423551
97859,Meacham,OR,1634,36.197,45.14186259
97361,Monmouth,OR,6152,137.307,44.8047077
97702,Bend,OR,6663,149.292,44.6306567
97632,Malin,OR,1829,41.003,44.60649221
97054,Deer Island,OR,2338,53.724,43.51872534
97327,Brownsville,OR,4660,107.099,43.51114389
97525,Gold Hill,OR,4662,108.023,43.15747572
97376,Seal Rock,OR,2221,51.897,42.79630807
97040,Mosier,OR,1558,38.03,40.96765711
97341,Depoe Bay,OR,796,19.758,40.28747849
