Zip Code,Zip Population,Zip SqMi,Zip Pop Density,Zip Mean HHI
97121,1229,26.672,46.07828434,61646.0
97367,6188,135.34,45.72188562,69784.0
97058,14557,319.834,45.51423551,75629.0
97859,1634,36.197,45.14186259,58564.0
97361,6152,137.307,44.8047077,72346.0
97702,6663,149.292,44.6306567,95495.0
97632,1829,41.003,44.60649221,72119.0
97054,2338,53.724,43.51872534,70155.0
97327,4660,107.099,43.51114389,97876.0
97525,4662,108.023,43.15747572,72609.0
97376,2221,51.897,42.79630807,65375.0
97040,1558,38.03,40.96765711,88697.0
97341,796,19.758,40.28747849,70958.0
97038,11653,295.428,39.44446701,83860.0
97420,11824,300.654,39.32759917,70133.0
97419,1154,29.945,38.53731842,52791.0
97101,1880,49.46,38.01051355,90048.0
97394,2370,65.381,36.24906318,62157.0
97446,3893,108.634,35.83592614,65295.0
97424,12133,345.203,35.14743499,64924.0
97137,1447,42.204,34.28584968,114367.0
97119,5401,158.496,34.07656976,113906.0
97231,2630,77.67,33.86120767,161621.0
97875,1574,47.293,33.28188104,68366.0
97471,8320,262.24,31.7266626,75846.0
97031,6431,205.265,31.33023165,98664.0
97122,778,25.827,30.12351415,59795.0
97701,8180,275.97,29.640903,103507.0
97148,3793,128.681,29.47599102,122938.0
97374,5346,183.212,29.1793114,75896.0
97543,1621,55.888,29.00443745,73328.0
97520,17337,609.851,28.42825543,91888.0
97760,2302,83.051,27.71790827,91083.0
97489,741,28.066,26.40205231,102228.0
97457,5005,191.681,26.11109082,57244.0
97370,4597,181.257,25.36177913,100171.0
97913,3195,126.326,25.29170559,54046.0
97601,10617,425.17,24.971188,63135.0
97462,6566,270.9,24.2377261,68055.0
97117,718,29.702,24.17345633,115561.0
97386,5309,228.392,23.24512242,63773.0
97347,2800,124.24,22.53702511,54584.0
97527,4440,200.504,22.14419662,67270.0
97530,7163,336.188,21.30653087,101995.0
97138,9045,425.373,21.26369093,68568.0
97431,1467,71.037,20.65120993,80375.0
97465,1682,81.594,20.61426085,50301.0
97144,863,42.414,20.34705522,74949.0
97850,16517,868.219,19.02400201,68319.0
97019,3054,162.101,18.84010586,99528.0
97304,1211,67.128,18.04016208,100927.0
97456,1622,90.945,17.83495519,88520.0
97461,978,54.967,17.79249368,98491.0
97390,1752,98.743,17.74302989,55150.0
97438,2182,125.22,17.42533142,95890.0
97741,6156,357.758,17.20716238,69474.0
97416,1917,112.989,16.96625335,67113.0
97067,837,49.615,16.86989822,69984.0
97412,1095,68.103,16.07858685,90513.0
97862,4514,292.422,15.43659506,63133.0
97532,1153,76.182,15.13480875,64840.0
97108,1097,77.244,14.2017503,51712.0
97486,2204,155.613,14.16334111,149170.0
97348,785,58.115,13.50770025,93987.0
97544,1712,129.182,13.25262033,63837.0
97801,13521,1040.1,12.99971157,71122.0
97756,1417,109.224,12.97333919,74345.0
97049,1535,120.241,12.76602823,86232.0
97810,2420,197.184,12.27280104,76868.0
97014,1543,126.039,12.24224248,67394.0
97499,1227,102.57,11.96256215,53310.0
97443,3864,324.294,11.91511406,63565.0
97041,2402,206.652,11.62340553,78418.0
97841,676,59.604,11.3415207,102122.0
97459,3162,280.398,11.27682794,83980.0
97358,913,81.757,11.1672395,77963.0
97326,1095,106.024,10.3278503,76167.0
97625,1459,141.829,10.2870358,95780.0
97434,1819,181.796,10.0057207,51138.0
97833,1726,182.604,9.452147817,64082.0
97415,6923,744.837,9.294651044,71205.0
97470,1670,184.391,9.056841169,57667.0
97814,7828,910.377,8.59863551,68667.0
97141,3210,376.37,8.5288413,69685.0
97380,942,112.657,8.361664166,77853.0
97813,877,105.178,8.338245641,86999.0
97410,1353,162.451,8.328665259,65115.0
97497,1075,130.732,8.222929352,57388.0
97479,1235,161.821,7.631889557,59857.0
97496,917,125.987,7.278528737,66056.0
97016,2361,326.92,7.221950324,72720.0
97467,4019,565.206,7.110681769,56990.0
97826,1142,161.858,7.055567226,60802.0
97324,1444,209.881,6.880089193,77640.0
97886,860,125.429,6.8564686,66100.0
97064,1089,164.639,6.614471662,69819.0
97063,1021,160.43,6.364146357,106048.0
97883,3211,515.627,6.227369785,61353.0
97453,699,114.562,6.101499625,49671.0
97827,2176,369.171,5.894287471,56654.0
97343,1036,178.182,5.814279781,106382.0
97342,1515,260.781,5.809472316,80567.0
97641,964,166.943,5.774426002,44219.0
97918,2310,407.879,5.663444306,61265.0
97839,799,148.621,5.376090862,57764.0
97112,1055,205.509,5.133595122,52479.0
97523,1899,385.554,4.925380102,50502.0
97021,1865,394.744,4.724580994,76100.0
97522,1309,282.108,4.640066925,53796.0
97344,923,216.625,4.260819388,62357.0
97065,852,200.58,4.247681723,85371.0
97454,516,124.293,4.151480775,89355.0
97761,1659,408.972,4.056512426,51127.0
97463,1347,338.566,3.978544804,41574.0
97536,1318,342.735,3.845536639,48262.0
97736,803,213.653,3.758430726,83211.0
97435,792,222.568,3.558463032,72094.0
97846,1312,389.426,3.369061131,80448.0
97406,1289,396.235,3.253119992,18981.0
97029,834,259.941,3.208420372,56527.0
97413,2992,932.945,3.207048647,66092.0
97835,595,197.935,3.006037335,97425.0
97885,1944,668.252,2.909082203,64550.0
97442,823,295.022,2.789622469,51909.0
97837,804,344.05,2.336869641,24635.0
97870,841,364.148,2.309500533,55255.0
97131,738,327.299,2.254818988,82605.0
97834,594,266.371,2.229972482,49716.0
97828,1858,860.543,2.159101869,77723.0
97754,3606,1799.095,2.004341071,63255.0
97711,929,472.936,1.964324983,91731.0
97630,2660,1481.982,1.794893595,63825.0
97864,705,413.282,1.705857018,49506.0
97843,665,409.893,1.62237462,102428.0
97904,1082,670.178,1.614496447,67481.0
97836,1715,1099.507,1.559789979,75765.0
97737,851,552.213,1.541072014,41420.0
97623,1468,1051.34,1.396313276,61892.0
97907,483,421.37,1.146261006,52847.0
97823,843,837.658,1.006377304,46496.0
97484,592,637.427,0.9287338,43725.0
97627,650,701.142,0.927058998,69569.0
97750,845,949.083,0.89033309,55531.0
97739,1201,1485.296,0.808593035,60857.0
97037,710,945.902,0.7506063,66820.0
97910,756,4651.573,0.162525666,56393.0
