SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-18-2020,Single Family Residential,4305 SE Bybee Blvd,Portland,OR,97206,475000,3,1.0,Portland Southeast,1088,4791,1960,,437,,Sold,,,https://www.redfin.com/OR/Portland/4305-SE-Bybee-Blvd-97206/home/25826914,RMLS,20037279,N,Y,45.4727523,-122.6182974
PAST SALE,May-5-2020,Single Family Residential,4927 NE 89th Ave,Portland,OR,97220,328000,3,1.0,Portland Northeast,1551,3484,1952,,211,,Sold,,,https://www.redfin.com/OR/Portland/4927-NE-89th-Ave-97220/home/26363546,RMLS,20547841,N,Y,45.5590395,-122.5715298
PAST SALE,May-12-2020,Single Family Residential,14406 SE Carmichael Ct,Happy Valley,OR,97086,745000,4,2.5,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",3041,45302,1995,,245,,Sold,,,https://www.redfin.com/OR/Happy-Valley/14406-SE-Carmichael-Ct-97086/home/25965917,RMLS,20140207,N,Y,45.4561573,-122.5151025
PAST SALE,October-28-2020,Single Family Residential,6400 SW Taylors Ferry Rd,Portland,OR,97219,521000,4,2.5,"Portland West, Raleigh Hills",1812,9147,1952,,288,,Sold,,,https://www.redfin.com/OR/Portland/6400-SW-Taylors-Ferry-Rd-97219/home/26368129,RMLS,20570880,N,Y,45.4546252,-122.742526
PAST SALE,September-18-2020,Condo/Co-op,1500 SW 5th Ave #906,Portland,OR,97201,405000,2,2.0,"Portland West, Raleigh Hills",1319,,1973,,307,663,Sold,,,https://www.redfin.com/OR/Portland/1500-SW-5th-Ave-97201/unit-906/home/25793868,RMLS,20479420,N,Y,45.5131376,-122.6802246
PAST SALE,June-9-2020,Single Family Residential,10223 SW 32nd Pl,Portland,OR,97219,525000,3,3.0,"Portland West, Raleigh Hills",1912,10018,1986,,275,,Sold,,,https://www.redfin.com/OR/Portland/10223-SW-32nd-Pl-97219/home/25813829,RMLS,20440440,N,Y,45.4511006,-122.7099249
PAST SALE,June-21-2021,Single Family Residential,505 NE Stanton St,Portland,OR,97212,470000,2,1.0,Portland Northeast,1624,3049,1941,,289,,Sold,,,https://www.redfin.com/OR/Portland/505-NE-Stanton-St-97212/home/26496380,RMLS,21567516,N,Y,45.5440104,-122.6604339
PAST SALE,March-31-2021,Condo/Co-op,3601 S River Pkwy #706,Portland,OR,97239,300000,1,1.0,"JOHN ROSS, SOUTH WATERFRONT",768,,2006,,391,433,Sold,,,https://www.redfin.com/OR/Portland/3601-S-River-Pkwy-97239/unit-706/home/25743382,RMLS,21241555,N,Y,45.4967915,-122.6702786
PAST SALE,October-30-2020,Townhouse,4813 NW 162nd Ter,Portland,OR,97229,400000,3,2.5,NW Washington Co or Sauvie Island,1479,1742,2009,,270,225,Sold,,,https://www.redfin.com/OR/Portland/4813-NW-162nd-Ter-97229/home/25848108,RMLS,20193249,N,Y,45.5546273,-122.844082
PAST SALE,September-22-2020,Single Family Residential,15821 NW Trakehner Way,Portland,OR,97229,584325,5,3.0,NW Washington Co or Sauvie Island,2436,,1997,,240,,Sold,,,https://www.redfin.com/OR/Portland/15821-NW-Trakehner-Way-97229/home/26584609,RMLS,20383318,N,Y,45.5580349,-122.8398279
PAST SALE,July-7-2020,Single Family Residential,9416 NE Gertz Ct,Portland,OR,97211,261000,3,1.0,SNOOZY'S HOLLOW,822,5227,1944,,318,80,Sold,,,https://www.redfin.com/OR/Portland/9416-NE-Gertz-Ct-97211/home/26531384,RMLS,20364669,N,Y,45.5921936,-122.6649842
PAST SALE,October-6-2020,Single Family Residential,15343 NW Nightshade Dr,Portland,OR,97229,390000,3,2.5,NW Washington Co or Sauvie Island,1480,2613,1998,,264,8,Sold,,,https://www.redfin.com/OR/Portland/15343-NW-Nightshade-Dr-97229/home/25834141,RMLS,20546176,N,Y,45.566537,-122.8349204
PAST SALE,June-15-2021,Single Family Residential,8423 N Johnswood Dr,Portland,OR,97203,385000,2,1.0,Portland North,944,3920,2004,,408,,Sold,,,https://www.redfin.com/OR/Portland/8423-N-Johnswood-Dr-97203/home/26622167,RMLS,21366419,N,Y,45.6013446,-122.7469186
PAST SALE,September-25-2020,Single Family Residential,6451 NE Killingsworth Ct,Portland,OR,97218,310000,2,1.0,CULLY,966,2178,2009,,321,45,Sold,,,https://www.redfin.com/OR/Portland/6451-NE-Killingsworth-Ct-97218/home/25817633,RMLS,20031935,N,Y,45.5622945,-122.597237
PAST SALE,July-17-2020,Single Family Residential,8129 SE 141st Ave,Portland,OR,97236,419000,3,2.0,Portland Southeast,1500,6969,2001,,279,17,Sold,,,https://www.redfin.com/OR/Portland/8129-SE-141st-Ave-97236/home/26513849,RMLS,20347890,N,Y,45.4640396,-122.5187988
PAST SALE,November-24-2020,Single Family Residential,15721 SE Hawk Ct,Portland,OR,97236,444900,4,2.5,Portland Southeast,2037,5662,2003,,218,4,Sold,,,https://www.redfin.com/OR/Portland/15721-SE-Hawk-Ct-97236/home/26542223,RMLS,20266362,N,Y,45.4681444,-122.5011544
PAST SALE,July-17-2020,Single Family Residential,2947 NE 60th Ave,Portland,OR,97213,630000,3,2.5,Portland Northeast,2788,4791,1937,,226,,Sold,,,https://www.redfin.com/OR/Portland/2947-NE-60th-Ave-97213/home/26580575,RMLS,20410827,N,Y,45.5443719,-122.6017404
PAST SALE,July-19-2021,Townhouse,1814 NW 28th Ave,Portland,OR,97210,876250,3,2.5,Corbett/Lair Hill,2041,871,1993,,429,400,Sold,,,https://www.redfin.com/OR/Portland/1814-NW-28th-Ave-97210/home/26491195,RMLS,21615156,N,Y,45.535646,-122.708588
PAST SALE,August-6-2020,Single Family Residential,14842 SE Arista Dr,Milwaukie,OR,97267,434500,4,3.0,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",1552,5662,2010,,280,,Sold,,,https://www.redfin.com/OR/Milwaukie/14842-SE-Arista-Dr-97267/home/39502461,RMLS,20638539,N,Y,45.4158312,-122.6409832
PAST SALE,November-2-2021,Single Family Residential,2522 N Argyle St,Portland,OR,97217,540000,3,1.0,Kenton,2277,3484,1912,,237,,Sold,,,https://www.redfin.com/OR/Portland/2522-N-Argyle-St-97217/home/26530983,RMLS,21069333,N,Y,45.5842866,-122.6926907
PAST SALE,August-12-2021,Condo/Co-op,8558 SW 20th Ave,Portland,OR,97219,495000,3,2.5,MARKHAM,1660,,2016,,298,88,Sold,,,https://www.redfin.com/OR/Portland/8558-SW-20th-Ave-97219/home/49683052,RMLS,21177655,N,Y,45.462768,-122.6980654
PAST SALE,July-31-2020,Single Family Residential,2446 SE 77th Ave,Portland,OR,97206,517700,3,2.0,Portland Southeast,2444,5662,1955,,212,,Sold,,,https://www.redfin.com/OR/Portland/2446-SE-77th-Ave-97206/home/26496407,RMLS,20272560,N,Y,45.5046603,-122.5834607
PAST SALE,September-23-2021,Single Family Residential,4103 N Michigan Ave,Portland,OR,97217,577000,2,1.0,Portland Northeast,1699,3049,1940,,340,,Sold,,,https://www.redfin.com/OR/Portland/4103-N-Michigan-Ave-97217/home/26412504,RMLS,21222039,N,Y,45.5535011,-122.6768477
PAST SALE,March-31-2021,Townhouse,4063 N Commercial Ave,Portland,OR,97227,550000,3,2.5,Portland North,1627,2613,2005,,338,,Sold,,,https://www.redfin.com/OR/Portland/4063-N-Commercial-Ave-97227/home/26448937,RMLS,21459339,N,Y,45.553008847,-122.6714078
PAST SALE,August-16-2021,Single Family Residential,4700 SW Arnold St,Portland,OR,97219,525000,3,2.0,"Portland West, Raleigh Hills",1544,4791,1979,,340,,Sold,,,https://www.redfin.com/OR/Portland/4700-SW-Arnold-St-97219/home/25865201,RMLS,21056301,N,Y,45.444493,-122.7253863
PAST SALE,February-22-2021,Single Family Residential,7216 N Syracuse St,Portland,OR,97203,581000,3,2.0,Portland North,2496,7405,1906,,233,,Sold,,,https://www.redfin.com/OR/Portland/7216-N-Syracuse-St-97203/home/26508627,RMLS,21615128,N,Y,45.5847358,-122.742664
PAST SALE,December-7-2020,Condo/Co-op,3531 SW Troy St #9,Portland,OR,97219,235000,2,1.0,Multnomah Village,764,,1971,,308,250,Sold,,,https://www.redfin.com/OR/Portland/3531-SW-Troy-St-97219/unit-9/home/26446187,RMLS,20158752,N,Y,45.4683793,-122.7135642
PAST SALE,November-13-2020,Single Family Residential,5608 SW 42nd Ave,Portland,OR,97221,820000,4,3.0,"Portland West, Raleigh Hills",3176,6534,2018,,258,,Sold,,,https://www.redfin.com/OR/Portland/5608-SW-42nd-Ave-97221/home/113029139,RMLS,20112091,N,Y,45.4833804,-122.7201366
PAST SALE,September-3-2020,Single Family Residential,16171 SW Snapdragon Ln,Tigard,OR,97223,455000,3,2.5,"Tigard, Tualatin, Sherwood, Wilsonville",1550,6969,1995,,294,8,Sold,,,https://www.redfin.com/OR/Tigard/16171-SW-Snapdragon-Ln-97223/home/25760987,RMLS,20430532,N,Y,45.4226439,-122.8432175
PAST SALE,December-10-2020,Single Family Residential,16072 SW Snapdragon Ln,Tigard,OR,97223,440500,3,2.0,BULL MOUNTAIN MEADOWS,1333,6534,1996,,330,8,Sold,,,https://www.redfin.com/OR/Tigard/16072-SW-Snapdragon-Ln-97223/home/25820776,RMLS,20311193,N,Y,45.4223062,-122.8423555
PAST SALE,August-17-2021,Townhouse,6410 S Virginia Ave,Portland,OR,97239,555000,2,2.5,John's Landing,1470,1742,1990,,378,47,Sold,,,https://www.redfin.com/OR/Portland/6410-S-Virginia-Ave-97239/home/25848927,RMLS,21410536,N,Y,45.477756,-122.673545
PAST SALE,April-22-2021,Single Family Residential,815 SW Taylors Ferry Rd,Portland,OR,97219,470000,2,1.0,"Portland West, Raleigh Hills",1051,6098,1921,,447,,Sold,,,https://www.redfin.com/OR/Portland/815-SW-Taylors-Ferry-Rd-97219/home/26542025,RMLS,21556185,N,Y,45.4630681,-122.6869601
PAST SALE,April-14-2021,Single Family Residential,6609 NE Beech St,Portland,OR,97213,580000,4,3.0,ROSEWAY,2801,4356,1947,,207,,Sold,,,https://www.redfin.com/OR/Portland/6609-NE-Beech-St-97213/home/26508615,RMLS,21600010,N,Y,45.5497863,-122.5950242
PAST SALE,June-11-2021,Single Family Residential,7080 SE Pine St,Portland,OR,97215,820000,3,2.0,Mt Tabor,2168,4791,1953,,378,,Sold,,,https://www.redfin.com/OR/Portland/7080-SE-Pine-St-97215/home/26412650,RMLS,21162851,N,Y,45.5196216,-122.5904847
PAST SALE,May-12-2020,Single Family Residential,3415 NE 88th Ave,Portland,OR,97220,384000,2,1.0,Portland Northeast,1805,6534,1950,,213,,Sold,,,https://www.redfin.com/OR/Portland/3415-NE-88th-Ave-97220/home/26577614,RMLS,20019373,N,Y,45.5476626,-122.5721518
PAST SALE,June-11-2021,Single Family Residential,4126 NE 7th Ave,Portland,OR,97211,750000,5,3.0,SABIN,3165,4791,1911,,237,,Sold,,,https://www.redfin.com/OR/Portland/4126-NE-7th-Ave-97211/home/26504327,RMLS,21042803,N,Y,45.5537065,-122.6583733
PAST SALE,November-6-2020,Single Family Residential,1037 NE Madrona St,Portland,OR,97211,425000,3,2.0,Portland Northeast,1306,3049,2001,,325,,Sold,,,https://www.redfin.com/OR/Portland/1037-NE-Madrona-St-97211/home/26338572,RMLS,20079583,N,Y,45.5734787,-122.6559707
PAST SALE,April-16-2021,Single Family Residential,7323 SE Webster Ln,Milwaukie,OR,97267,515000,3,1.0,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",1587,10454,1969,,325,,Sold,,,https://www.redfin.com/OR/Milwaukie/7323-SE-Webster-Ln-97267/home/25949751,RMLS,21093371,N,Y,45.4079687,-122.5881529
PAST SALE,September-17-2021,Single Family Residential,16610 SE Harold Ave,Milwaukie,OR,97267,510000,4,2.5,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",1572,6534,1996,,324,,Sold,,,https://www.redfin.com/OR/Milwaukie/16610-SE-Harold-Ave-97267/home/26022235,RMLS,21049283,N,Y,45.4025614,-122.6163394
PAST SALE,August-20-2021,Single Family Residential,8220 SE 66th Ave,Portland,OR,97206,600000,4,2.0,Portland Southeast,1680,7840,1947,,357,,Sold,,,https://www.redfin.com/OR/Portland/8220-SE-66th-Ave-97206/home/26611939,RMLS,21493016,N,Y,45.4638102,-122.595324
PAST SALE,November-30-2020,Single Family Residential,2121 N Schofield St,Portland,OR,97217,514500,3,1.0,KENTON,2040,4356,1927,,252,,Sold,,,https://www.redfin.com/OR/Portland/2121-N-Schofield-St-97217/home/25824624,RMLS,20693477,N,Y,45.5818663,-122.6884643
PAST SALE,May-11-2021,Other,309 N Bridgeton Rd Unit B,Portland,OR,97217,239000,2,1.0,Portland North,755,5227,2003,,317,300,Sold,,,https://www.redfin.com/OR/Portland/309-N-Bridgeton-Rd-97217/unit-B/home/114084092,RMLS,21417340,N,Y,45.603123,-122.6688725
PAST SALE,September-22-2020,Townhouse,2215 SE Trolley Line Ln,Milwaukie,OR,97267,400000,4,2.5,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",1628,3484,2012,,246,,Sold,,,https://www.redfin.com/OR/Milwaukie/2215-SE-Trolley-Line-Ln-97267/home/40268588,RMLS,20030941,N,Y,45.41547,-122.640927
PAST SALE,July-22-2021,Condo/Co-op,5321 NE Irving St Unit C,Portland,OR,97213,330000,2,2.0,Portland Northeast,770,,2018,,429,177,Sold,,,https://www.redfin.com/OR/Portland/5321-NE-Irving-St-97213/unit-C/home/25803027,RMLS,21183205,N,Y,45.5285703,-122.6082362
PAST SALE,March-12-2021,Single Family Residential,9068 SE Hamilton Ln,Happy Valley,OR,97086,625000,5,3.5,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",3302,7840,2007,,189,48,Sold,,,https://www.redfin.com/OR/Happy-Valley/9068-SE-Hamilton-Ln-97086/home/26083542,RMLS,20456989,N,Y,45.4576954,-122.541781
PAST SALE,March-16-2021,Single Family Residential,5880 SE Hector St,Milwaukie,OR,97222,408000,3,1.0,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",1118,6969,1955,,365,,Sold,,,https://www.redfin.com/OR/Milwaukie/5880-SE-Hector-St-97222/home/25804202,RMLS,21229055,N,Y,45.4496255,-122.6037682
